sample,status,reason
rootkit_5a6fd63f4ffc6037dc192b6c3f456e87,included,
rootkit_87370de697847a69a9a90ba567c10f9e,included,
rootkit_b760b16916edb59b9008cb4900498ad9,included,
rootkit_c36625389cb4739518472de4298536fb,included,
rootkit_c4471e977dcce55f05da188406d38da7,included,
tsunami_5a2fcfff8d6aab9a0abe9ca97f6093ed,included,
tsunami_642f523bb46c2e901416047dca1c5d4e,included,
tsunami_9b7f5a1228fa66cbd35e75fb774fdc8e,included,
tsunami_b615ceb39271099d8e1604f6bb95640c,included,
tsunami_baba921bf845cd46161eb96544155e40,included,
tsunami_d26c322e2439971a3b9cd65e27fdd311,included,
tsunami_d2fae43dae770a5137fbecaf84892701,included,
tsunami_d43948314aca324b52993d192cf74d02,included,
tsunami_d788ccaaa5d677a2e5cabe8b561c6452,included,
tsunami_db6ac9b7594a498a2f4f2108436acc02,included,
tsunami_db7eec3f7a375bf9a4d2eb4c130a1556,included,
tsunami_de2e41048e3a54ac1e6bbae91ae999ab,included,
tsunami_e29b065e2082940806538cfa93aac64c,included,
tsunami_e378a9f4393cd0b112415b594e1c1043,included,
tsunami_e5ef047abe703144c078345c7fe33521,included,
tsunami_e8a51b1b7a4d8c5b0498890062ba06a5,included,
tsunami_e8ca1c8cbdcc73b6dd83e6b9e5e979f3,included,
tsunami_e9658d751baefff8b99cf6d0e0e5abee,included,
tsunami_ead453a06315bfc702ad302821337fc2,included,
tsunami_ebea7ba0b377cf87c8262233aed11af8,included,
tsunami_ee07542f7dba6a60342424faf92af201,included,
02b92b6a11999fc277898e46bc8f635adba0e18ce135c754e2c3423f3bf6d5ae,excluded,Packed binary
095a4a535896e3575fb92a3157e46ae910803de2edb7365b6e7e2dd36cce286a,excluded,Packed binary
0d6e1d5025a6c55bb077895ae1523c54337d8d5bf501faf9b3628129e2d362b9,excluded,Packed binary
0f111c1b32b448b412c318a2f1ce2e0c6f2f68b9136dafa874889278c9702d88,excluded,Packed binary
1332d70d4b5325fc6bc1e575372b5f513e79c5a5079f61337b44f69614463647,excluded,Packed binary
16bf0b9d03c01c9e12b0e32e7a52d243b0ae6c2b040d0a5da3124d2e8eea3e9b,excluded,Packed binary
1750cb0df5c35cde3a22081d0c1b5911c3875efce932244c906cb0c961cc5e30,excluded,Go binary
1b03b3c0e2929e1452b99ba923c6f4388a2d889244975b83883f7c68ec32dab2,excluded,Packed binary
1bd3745a4f9043ead807d7777669b0dbf5b56985e5b3dd9d7cff8384154ea4a8,excluded,Go binary
1c3d6775c2b57d94e8b21b56859da3a1e5ad13a1e6a788ae99412257789edbe1,excluded,Packed binary
2,excluded,Shared object
23b7cba865e8bc974b09885dcaaba9574b6e124ef4df0f751a4b076b60b57eeb,excluded,Packed binary
2bddfd2a2be55a42a621a4c234f39e2a5756557f6ec03ef72eb7d1880e1a02fe,excluded,Go binary
318d66e1c137f9f3659954f2f9f986344e443a929abd3ff2518b1515e8f72227,excluded,Packed binary
38af87c8b02e9b1fb7ab06416f7e747e1f84033fddefc8d580c630831bf0413c,excluded,Go binary
3cbce4117e94894afda82e30ec03c283591c302f20d3a592232decd56c6c98ed,excluded,Packed binary
44c62e465a3ad8c8fe0f851466427f132722d21c416220c37f1c87a95ecd45ae,excluded,Go binary
4a9665680fe3a301eb6d2a0f63a3e4e7e656bb44380450cc24e0162fa5915211,excluded,Packed binary
4b4e7fdfce62e8b23aa9a236143e90092e17ece819b3d7e4529555000abd72ca,excluded,Go binary
53d667b17ea6a5f03abe1dbbd09cfe51c27b758ebc936bbf41af55bf2768f543,excluded,Go binary
5716037c0f23247c4baa92c9398fa8ed89166d38e826a528f2ad62abaff968cd,excluded,Packed binary
58d98b94e804faa1bf528e3e4ad7923ad118b045ce9effd637721bc0704a009b,excluded,Packed binary
625faeed889e109b425c5f67be371e3e0c6d9b794ea8974e79b4c085aa896340,excluded,Packed binary
62aa24a3c6db58a1937ec12790ac107625f70086f7a87e4a5eb2f68bcbe56af8,excluded,Packed binary
7c6e74abfa3ea821194699d7d5b0480e08dcf863143d083fe68cdc51c198826d,excluded,Packed binary
7e4d2b3b032eb50d65580ac1ccd5e2544e2deabd27317fd99fc4cc3511cb242e,excluded,Static-PIE binary
7eeb49a12710a14273958e8a5c0594987416ce88d46e57f5c28906d9ff892c1d,excluded,Go binary
86d162d2e4ae90daad260faa7df25be2e28bc70a97d0d0548d80a670177a2739,excluded,Go binary
87ca4c2b82172b7ea67acb751a1538e9ba725b97ef7c2d1067c6390b4261cf37,excluded,Packed binary
9286fd85002dbc2abc431b816ca8237a2563015f73926f1cf3b379726bb46b78,excluded,Packed binary
9e5b93d3095f577136717e6aae8b51fea50d66ef9123eedccfc23b8faebf6d6c,excluded,Packed binary
9f50e2753e2b2a2f97b7e41122eb0e732910dd567ccaccdd68f9aff804cf8708,excluded,Packed binary
a326333799d5c425a31de391c84c839de3a25b39bf9c4ba3bed95aac8ea0043f,excluded,Shared object
a710f4687dfd5647b5e54106a29a0e4a606498ffad07d6913bf115697c33ddd8,excluded,Go binary
a8bf9a1f5ec1502b8f391c49f533d336e05f39f3a20e5fa1dafd796bceadf48d,excluded,Go binary
aa1af69f17799d694f2f8b233644d9bfcd904149978d2040c5871b22ec179d9a,excluded,Packed binary
bde1497065eaf5ab34cba7bd96a8e21d5b6bb53c1fa031acb283187cf208dc87,excluded,Packed binary
c0dfbe27877c54e2e546908d518a9a1683ed597871ebbdd4b692bda27ad50923,excluded,Packed binary
c6dd2cf27b42c1f06f098b489bc44e153e1eb855e923ebe4d0e9ff56a780b82d,excluded,Packed binary
d117f06588c31308b2e3b6e3d8efd3b565085dc0e9cb59d718678b8231ec1465,excluded,Go binary
d5a0377ee9f1732a6f10372750fd638e081edf44a9703eda5d5ef53a2ab82f43,excluded,Packed binary
d8a096c35f124bb243abc801ff3af7c29f783033ae9a6a0864dcc3fb7828d454,excluded,Packed binary
da742e29ac2c731b3c7af7c1593edb13fd492c69ac894251c40ba4945734acb9,excluded,Packed binary
dcbb54ffa785a62cad9e6f61cd46deb863d8449f1f1ac32b11fa50e6f29db80b,excluded,Packed binary
decafa3d6023701eec07d0d0f1ac5b8070a47bb979a5d18d2e70296e51f1e2c4,excluded,Static-PIE binary
dnsamp_3ede781c8a49e64f8fe62c07e6bfda4b,excluded,Packed binary
dofloo_0132c766b1855c27819d9c108c7954c2,excluded,Packed binary
dofloo_2a24bde255b6e5f37b89a3ca85d1634c,excluded,Packed binary
dofloo_384b2d447d0e792e0217dbc83d4603a1,excluded,Packed binary
dofloo_3e586a685f76bea7cafffe0c8dfb8228,excluded,Packed binary
e60d7a3c7b85036f7b63c754c9d3f41b7c0e7a4029a4876d59685eb17392d204,excluded,Go binary
f0b81d67a4298aa1fccc84a4d0b9b1dabd68326d77d2fe75e100325645269050,excluded,Packed binary
f65b73622f2228525a059662c909c97bc2ff655da409cd915de5841d0d30e537,excluded,Go binary
ff86e2a06ae29422a4085e1dcbbfa32d4748a8cb1e6e194505a32ae6b6460295,excluded,Packed binary
gafgyt_0a4f52689a2d288c01efcbd381e30cc8,excluded,Packed binary
gafgyt_5d3e349737fef96a628f9855e70cf05d,excluded,Packed binary
gafgyt_b3889f04e771ebf23017956d1a987de3,excluded,Packed binary
gafgyt_b52fd4ef268b7daf3def8968e1ee0536,excluded,Packed binary
gafgyt_bb8671bd8fe7bd3a8b118b4c353c5428,excluded,Packed binary
generica_0b2d19947729135a78f10870760fb9c8,excluded,Packed binary
generica_2d2d8789a0d63a68aaddbf4611e6b9b1,excluded,Packed binary
generica_45c8504d9dc720e20e74f006e45b0f42,excluded,Packed binary
generica_49d6f506b0849bcafb1fafae98834876,excluded,Packed binary
generica_64f11b25eba509b5ef958b0bd70398d3,excluded,Packed binary
generica_7b05186472f343fd12915f26e2f97b46,excluded,Packed binary
generica_8d51a30c0c6a894a28f9f41879012bb2,excluded,Go binary
generica_b354eaf3061b4099aecac523eb5466a3,excluded,Packed binary
mirai_0c9dfac76431689da56df46af0bcfc9e,excluded,Packed binary
mirai_0d43c244494c4182b866a3c7218628b4,excluded,Packed binary
mirai_1c481e17b30486eea08c092675acf1ba,excluded,Packed binary
rootkit_39e72de264990220de6b2457054fe5fb,excluded,Shared object
rootkit_8e9a927abba3fe269d24fc9f6bfe197d,excluded,Shared object
rootkit_ccef46c7edf9131ccffc47bd69eb743b,excluded,Shared object
rootkit_ebf1ed323b01cee04bae21e395edea3f,excluded,Shared object
rootkit_fe9d149dec9cd182254ace576a332f56,excluded,Shared object
tsunami_ceb9a55eaa71101f86b14c6b296066c9,excluded,Packed binary
tsunami_d9f82dbf8733f15f97fb352467c9ab21,excluded,Packed binary
tsunami_f278f98c99f7c491ec69e14f54ba67e4,excluded,Packed binary
tsunami_fdd5532c5ec4d3238d2fd36b0a0b187f,excluded,Packed binary
